# Renewables.ninja Solar PV (Point API) - 45.392, -75.713 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Toronto, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Toronto", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "45.391562584355064", "lon": "-75.713349790297", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "12", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2018-12-31 19:00,0,0,0,-2.159
2019-01-01 01:00,2018-12-31 20:00,0,0,0,-2.009
2019-01-01 02:00,2018-12-31 21:00,0,0,0,-2.088
2019-01-01 03:00,2018-12-31 22:00,0,0,0,-1.951
2019-01-01 04:00,2018-12-31 23:00,0,0,0,-1.782
2019-01-01 05:00,2019-01-01 00:00,0,0,0,-1.785
2019-01-01 06:00,2019-01-01 01:00,0,0,0,-1.650
2019-01-01 07:00,2019-01-01 02:00,0,0,0,-1.550
2019-01-01 08:00,2019-01-01 03:00,0,0,0,-1.608
2019-01-01 09:00,2019-01-01 04:00,0,0,0,-2.039
2019-01-01 10:00,2019-01-01 05:00,0,0,0,-2.767
2019-01-01 11:00,2019-01-01 06:00,0,0,0,-3.562
2019-01-01 12:00,2019-01-01 07:00,0,0.002,0.001,-4.123
2019-01-01 13:00,2019-01-01 08:00,1.915,0.134,0.041,-4.366
2019-01-01 14:00,2019-01-01 09:00,5.040,0.378,0.064,-4.858
2019-01-01 15:00,2019-01-01 10:00,6.766,0.526,0.074,-5.778
2019-01-01 16:00,2019-01-01 11:00,7.938,0.638,0.074,-6.684
2019-01-01 17:00,2019-01-01 12:00,8.236,0.670,0.069,-7.458
2019-01-01 18:00,2019-01-01 13:00,8.029,0.658,0.056,-8.247
2019-01-01 19:00,2019-01-01 14:00,6.424,0.509,0.048,-9.378
2019-01-01 20:00,2019-01-01 15:00,3.408,0.256,0.036,-11.054
2019-01-01 21:00,2019-01-01 16:00,0.038,0.007,0.003,-13.151
2019-01-01 22:00,2019-01-01 17:00,0,0,0,-15.095
2019-01-01 23:00,2019-01-01 18:00,0,0,0,-16.726
2019-01-02 00:00,2019-01-01 19:00,0,0,0,-18.515
2019-01-02 01:00,2019-01-01 20:00,0,0,0,-20.021
2019-01-02 02:00,2019-01-01 21:00,0,0,0,-20.890
2019-01-02 03:00,2019-01-01 22:00,0,0,0,-21.056
2019-01-02 04:00,2019-01-01 23:00,0,0,0,-20.920
2019-01-02 05:00,2019-01-02 00:00,0,0,0,-21.576
2019-01-02 06:00,2019-01-02 01:00,0,0,0,-22.346
2019-01-02 07:00,2019-01-02 02:00,0,0,0,-22.419
2019-01-02 08:00,2019-01-02 03:00,0,0,0,-22.234
2019-01-02 09:00,2019-01-02 04:00,0,0,0,-21.613
2019-01-02 10:00,2019-01-02 05:00,0,0,0,-21.311
2019-01-02 11:00,2019-01-02 06:00,0,0,0,-21.843
2019-01-02 12:00,2019-01-02 07:00,0.008,0.005,0.002,-22.289
2019-01-02 13:00,2019-01-02 08:00,3.657,0.266,0.032,-21.875
2019-01-02 14:00,2019-01-02 09:00,6.895,0.527,0.043,-20.329
2019-01-02 15:00,2019-01-02 10:00,8.771,0.702,0.048,-18.076
2019-01-02 16:00,2019-01-02 11:00,9.630,0.790,0.051,-16.766
2019-01-02 17:00,2019-01-02 12:00,9.595,0.790,0.052,-15.722
2019-01-02 18:00,2019-01-02 13:00,8.510,0.684,0.053,-14.922
2019-01-02 19:00,2019-01-02 14:00,5.328,0.381,0.067,-14.688
2019-01-02 20:00,2019-01-02 15:00,1.313,0.072,0.048,-15.126
2019-01-02 21:00,2019-01-02 16:00,0,0.001,0.002,-15.811
2019-01-02 22:00,2019-01-02 17:00,0,0,0,-16.168
2019-01-02 23:00,2019-01-02 18:00,0,0,0,-16.132
2019-01-03 00:00,2019-01-02 19:00,0,0,0,-15.730
2019-01-03 01:00,2019-01-02 20:00,0,0,0,-15.314
2019-01-03 02:00,2019-01-02 21:00,0,0,0,-15.015
2019-01-03 03:00,2019-01-02 22:00,0,0,0,-14.710
2019-01-03 04:00,2019-01-02 23:00,0,0,0,-14.469
2019-01-03 05:00,2019-01-03 00:00,0,0,0,-14.267
2019-01-03 06:00,2019-01-03 01:00,0,0,0,-14.111
2019-01-03 07:00,2019-01-03 02:00,0,0,0,-14.048
2019-01-03 08:00,2019-01-03 03:00,0,0,0,-14.067
